surface_id,model_name,model_snapshot,scenario_id,n_cells_observed,is_complete_32_cell_surface,n_unique_cell_ids,n_duplicate_cell_ids,n_missing_cell_ids,missing_cell_ids,is_constant_afc,n_positive_afc,n_negative_afc,eligibility_status
acceptable_floor_choice|claude-opus-4-6|scenario_2,claude-opus-4-6,claude-opus-4-6,2,32,True,32,0,0,,False,15,17,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_6,claude-opus-4-6,claude-opus-4-6,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|claude-opus-4-6|scenario_7,claude-opus-4-6,claude-opus-4-6,7,32,True,32,0,0,,False,13,19,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_10,claude-opus-4-6,claude-opus-4-6,10,32,True,32,0,0,,False,13,19,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_11,claude-opus-4-6,claude-opus-4-6,11,32,True,32,0,0,,False,17,15,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_12,claude-opus-4-6,claude-opus-4-6,12,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|claude-opus-4-6|scenario_14,claude-opus-4-6,claude-opus-4-6,14,32,True,32,0,0,,False,5,27,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_15,claude-opus-4-6,claude-opus-4-6,15,32,True,32,0,0,,False,27,5,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_16,claude-opus-4-6,claude-opus-4-6,16,32,True,32,0,0,,False,8,24,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_22,claude-opus-4-6,claude-opus-4-6,22,32,True,32,0,0,,False,6,26,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_23,claude-opus-4-6,claude-opus-4-6,23,32,True,32,0,0,,False,4,28,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_26,claude-opus-4-6,claude-opus-4-6,26,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_27,claude-opus-4-6,claude-opus-4-6,27,32,True,32,0,0,,False,14,18,eligible_nonconstant_surface
acceptable_floor_choice|claude-opus-4-6|scenario_29,claude-opus-4-6,claude-opus-4-6,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|deepseek-r1|scenario_1,deepseek-r1,deepseek-r1,1,32,True,32,0,0,,False,30,2,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_2,deepseek-r1,deepseek-r1,2,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|deepseek-r1|scenario_6,deepseek-r1,deepseek-r1,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|deepseek-r1|scenario_7,deepseek-r1,deepseek-r1,7,32,True,32,0,0,,False,12,20,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_10,deepseek-r1,deepseek-r1,10,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_11,deepseek-r1,deepseek-r1,11,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_12,deepseek-r1,deepseek-r1,12,32,True,32,0,0,,False,13,19,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_14,deepseek-r1,deepseek-r1,14,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|deepseek-r1|scenario_15,deepseek-r1,deepseek-r1,15,32,True,32,0,0,,False,19,13,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_16,deepseek-r1,deepseek-r1,16,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_22,deepseek-r1,deepseek-r1,22,32,True,32,0,0,,False,2,30,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_23,deepseek-r1,deepseek-r1,23,32,True,32,0,0,,False,3,29,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_26,deepseek-r1,deepseek-r1,26,32,True,32,0,0,,False,25,7,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_27,deepseek-r1,deepseek-r1,27,32,True,32,0,0,,False,7,25,eligible_nonconstant_surface
acceptable_floor_choice|deepseek-r1|scenario_29,deepseek-r1,deepseek-r1,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_1,gemini-2.5-pro,gemini-2.5-pro,1,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_2,gemini-2.5-pro,gemini-2.5-pro,2,32,True,32,0,0,,False,9,23,eligible_nonconstant_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_6,gemini-2.5-pro,gemini-2.5-pro,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_7,gemini-2.5-pro,gemini-2.5-pro,7,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_10,gemini-2.5-pro,gemini-2.5-pro,10,32,True,32,0,0,,False,8,24,eligible_nonconstant_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_11,gemini-2.5-pro,gemini-2.5-pro,11,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_12,gemini-2.5-pro,gemini-2.5-pro,12,24,False,24,0,8,20;21;22;23;25;26;27;28,False,0,24,incomplete_32_cell_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_14,gemini-2.5-pro,gemini-2.5-pro,14,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_15,gemini-2.5-pro,gemini-2.5-pro,15,32,True,32,0,0,,False,14,18,eligible_nonconstant_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_16,gemini-2.5-pro,gemini-2.5-pro,16,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_22,gemini-2.5-pro,gemini-2.5-pro,22,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_23,gemini-2.5-pro,gemini-2.5-pro,23,32,True,32,0,0,,False,4,28,eligible_nonconstant_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_26,gemini-2.5-pro,gemini-2.5-pro,26,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_27,gemini-2.5-pro,gemini-2.5-pro,27,31,False,31,0,1,22,False,0,31,incomplete_32_cell_surface
acceptable_floor_choice|gemini-2.5-pro|scenario_29,gemini-2.5-pro,gemini-2.5-pro,29,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_1,gemini-3-flash-preview,gemini-3-flash-preview,1,32,True,32,0,0,,False,1,31,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_2,gemini-3-flash-preview,gemini-3-flash-preview,2,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_6,gemini-3-flash-preview,gemini-3-flash-preview,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_7,gemini-3-flash-preview,gemini-3-flash-preview,7,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_10,gemini-3-flash-preview,gemini-3-flash-preview,10,32,True,32,0,0,,False,21,11,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_11,gemini-3-flash-preview,gemini-3-flash-preview,11,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_12,gemini-3-flash-preview,gemini-3-flash-preview,12,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_14,gemini-3-flash-preview,gemini-3-flash-preview,14,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_15,gemini-3-flash-preview,gemini-3-flash-preview,15,32,True,32,0,0,,False,17,15,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_16,gemini-3-flash-preview,gemini-3-flash-preview,16,32,True,32,0,0,,False,2,30,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_22,gemini-3-flash-preview,gemini-3-flash-preview,22,32,True,32,0,0,,False,8,24,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_23,gemini-3-flash-preview,gemini-3-flash-preview,23,31,False,31,0,1,26,False,4,27,incomplete_32_cell_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_26,gemini-3-flash-preview,gemini-3-flash-preview,26,32,True,32,0,0,,False,24,8,eligible_nonconstant_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_27,gemini-3-flash-preview,gemini-3-flash-preview,27,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gemini-3-flash-preview|scenario_29,gemini-3-flash-preview,gemini-3-flash-preview,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_1,gpt-5-mini,gpt-5-mini,1,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_2,gpt-5-mini,gpt-5-mini,2,32,True,32,0,0,,False,10,22,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5-mini|scenario_6,gpt-5-mini,gpt-5-mini,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5-mini|scenario_7,gpt-5-mini,gpt-5-mini,7,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_10,gpt-5-mini,gpt-5-mini,10,32,True,32,0,0,,False,23,9,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5-mini|scenario_11,gpt-5-mini,gpt-5-mini,11,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5-mini|scenario_12,gpt-5-mini,gpt-5-mini,12,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_14,gpt-5-mini,gpt-5-mini,14,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_15,gpt-5-mini,gpt-5-mini,15,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_16,gpt-5-mini,gpt-5-mini,16,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_22,gpt-5-mini,gpt-5-mini,22,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_23,gpt-5-mini,gpt-5-mini,23,32,True,32,0,0,,False,22,10,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5-mini|scenario_26,gpt-5-mini,gpt-5-mini,26,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5-mini|scenario_27,gpt-5-mini,gpt-5-mini,27,32,True,32,0,0,,False,7,25,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5-mini|scenario_29,gpt-5-mini,gpt-5-mini,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-5.2|scenario_1,gpt-5.2,gpt-5.2,1,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_2,gpt-5.2,gpt-5.2,2,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_6,gpt-5.2,gpt-5.2,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_7,gpt-5.2,gpt-5.2,7,32,True,32,0,0,,False,7,25,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.2|scenario_10,gpt-5.2,gpt-5.2,10,32,True,32,0,0,,False,24,8,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.2|scenario_11,gpt-5.2,gpt-5.2,11,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.2|scenario_12,gpt-5.2,gpt-5.2,12,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_14,gpt-5.2,gpt-5.2,14,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_15,gpt-5.2,gpt-5.2,15,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_16,gpt-5.2,gpt-5.2,16,32,True,32,0,0,,False,11,21,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.2|scenario_22,gpt-5.2,gpt-5.2,22,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_23,gpt-5.2,gpt-5.2,23,32,True,32,0,0,,False,2,30,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.2|scenario_26,gpt-5.2,gpt-5.2,26,32,True,32,0,0,,False,5,27,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.2|scenario_27,gpt-5.2,gpt-5.2,27,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.2|scenario_29,gpt-5.2,gpt-5.2,29,32,True,32,0,0,,False,27,5,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_1,gpt-5.4-thinking,gpt-5.4-thinking,1,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_2,gpt-5.4-thinking,gpt-5.4-thinking,2,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_6,gpt-5.4-thinking,gpt-5.4-thinking,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_7,gpt-5.4-thinking,gpt-5.4-thinking,7,32,True,32,0,0,,False,2,30,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_10,gpt-5.4-thinking,gpt-5.4-thinking,10,32,True,32,0,0,,False,24,8,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_11,gpt-5.4-thinking,gpt-5.4-thinking,11,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_12,gpt-5.4-thinking,gpt-5.4-thinking,12,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_14,gpt-5.4-thinking,gpt-5.4-thinking,14,32,True,32,0,0,,False,14,18,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_15,gpt-5.4-thinking,gpt-5.4-thinking,15,32,True,32,0,0,,False,30,2,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_16,gpt-5.4-thinking,gpt-5.4-thinking,16,32,True,32,0,0,,False,8,24,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_22,gpt-5.4-thinking,gpt-5.4-thinking,22,32,True,32,0,0,,False,6,26,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_23,gpt-5.4-thinking,gpt-5.4-thinking,23,32,True,32,0,0,,False,4,28,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_26,gpt-5.4-thinking,gpt-5.4-thinking,26,32,True,32,0,0,,False,7,25,eligible_nonconstant_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_27,gpt-5.4-thinking,gpt-5.4-thinking,27,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-5.4-thinking|scenario_29,gpt-5.4-thinking,gpt-5.4-thinking,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-health|scenario_1,gpt-health,gpt-health,1,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_2,gpt-health,gpt-health,2,32,True,32,0,0,,False,9,23,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_6,gpt-health,gpt-health,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-health|scenario_7,gpt-health,gpt-health,7,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-health|scenario_10,gpt-health,gpt-health,10,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_11,gpt-health,gpt-health,11,32,True,32,0,0,,False,31,1,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_12,gpt-health,gpt-health,12,32,True,32,0,0,,False,18,14,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_14,gpt-health,gpt-health,14,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_15,gpt-health,gpt-health,15,32,True,32,0,0,,False,23,9,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_16,gpt-health,gpt-health,16,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|gpt-health|scenario_22,gpt-health,gpt-health,22,32,True,32,0,0,,False,16,16,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_23,gpt-health,gpt-health,23,32,True,32,0,0,,False,4,28,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_26,gpt-health,gpt-health,26,32,True,32,0,0,,False,17,15,eligible_nonconstant_surface
acceptable_floor_choice|gpt-health|scenario_27,gpt-health,gpt-health,27,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|gpt-health|scenario_29,gpt-health,gpt-health,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_1,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,1,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_2,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,2,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_6,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_7,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,7,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_10,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,10,32,True,32,0,0,,False,27,5,eligible_nonconstant_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_11,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,11,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_12,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,12,32,True,32,0,0,,False,9,23,eligible_nonconstant_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_14,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,14,32,True,32,0,0,,False,7,25,eligible_nonconstant_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_15,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,15,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_16,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,16,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_22,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,22,32,True,32,0,0,,False,20,12,eligible_nonconstant_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_23,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,23,32,True,32,0,0,,False,12,20,eligible_nonconstant_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_26,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,26,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_27,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,27,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|llama-3.3-70b-instruct-turbo|scenario_29,llama-3.3-70b-instruct-turbo,llama-3.3-70b-instruct-turbo,29,32,True,32,0,0,,True,32,0,constant_one_surface
